kelurahan,datetime,suhu,kelembapan,curah_hujan,kecepatan_angin,arah_angin,tutupan_awan,jarak_pandang,cuaca
Kel.Amban,2025-08-20 22:00:00,25,92,1.3,21.1,E,100,< 6 km,Hujan Ringan
Kel.Amban,2025-08-21 00:00:00,25,91,1.3,17.2,E,100,< 7 km,Hujan Ringan
Kel.Amban,2025-08-21 01:00:00,25,90,1.3,23.4,E,100,< 6 km,Hujan Ringan
Kel.Amban,2025-08-21 02:00:00,25,90,1.3,18.2,SE,100,< 6 km,Hujan Ringan
Kel.Amban,2025-08-21 03:00:00,25,91,0.7,18.2,SE,100,< 6 km,Hujan Ringan
Kel.Amban,2025-08-21 04:00:00,25,91,0.6,15.8,E,100,< 6 km,Berawan
Kel.Amban,2025-08-21 05:00:00,25,90,0.7,10.8,E,100,< 6 km,Hujan Ringan
Kel.Amban,2025-08-21 06:00:00,25,91,1.3,10.8,E,100,< 6 km,Hujan Ringan
Kel.Amban,2025-08-21 07:00:00,25,90,1.3,16.5,E,100,< 7 km,Hujan Ringan
Kel.Amban,2025-08-21 08:00:00,25,91,1.3,13.9,E,100,< 5 km,Hujan Ringan
Kel.Amban,2025-08-21 09:00:00,25,91,1.3,13.9,E,100,< 5 km,Hujan Ringan
Kel.Amban,2025-08-21 10:00:00,25,92,1.3,14.4,E,100,< 6 km,Hujan Ringan
Kel.Amban,2025-08-21 11:00:00,25,91,1.3,7.3,E,100,< 6 km,Hujan Ringan
Kel.Amban,2025-08-21 12:00:00,26,88,0.9,15.9,E,100,< 6 km,Hujan Ringan
Kel.Amban,2025-08-21 13:00:00,26,89,0.9,9.0,E,100,< 7 km,Berawan
Kel.Amban,2025-08-21 14:00:00,26,90,0.9,9.0,E,100,< 7 km,Berawan
Kel.Amban,2025-08-21 15:00:00,25,90,1.1,9.0,E,100,< 7 km,Hujan Ringan
Kel.Amban,2025-08-21 16:00:00,25,90,1.1,1.7,N,100,< 8 km,Hujan Ringan
Kel.Amban,2025-08-21 17:00:00,25,90,1.1,1.7,N,100,< 8 km,Hujan Ringan
Kel.Amban,2025-08-21 18:00:00,25,92,0.0,1.7,N,98,< 8 km,Hujan Ringan
Kel.Amban,2025-08-21 19:00:00,25,92,0.0,11.3,W,100,< 8 km,Hujan Ringan
Kel.Amban,2025-08-21 20:00:00,25,93,0.0,11.3,W,100,< 8 km,Berawan
Kel.Amban,2025-08-21 21:00:00,24,92,1.4,11.3,W,100,< 8 km,Hujan Ringan
Kel.Amban,2025-08-21 22:00:00,24,94,1.4,4.9,NW,100,< 7 km,Hujan Ringan
Kel.Amban,2025-08-21 23:00:00,24,93,1.4,4.9,NW,100,< 7 km,Hujan Ringan
Kel.Amban,2025-08-22 00:00:00,24,92,0.4,7.2,NW,100,< 6 km,Berawan
Kel.Amban,2025-08-22 01:00:00,24,94,0.4,4.7,SW,100,< 8 km,Berawan
Kel.Amban,2025-08-22 02:00:00,24,93,0.4,4.7,SW,100,< 8 km,Berawan
Kel.Amban,2025-08-22 03:00:00,24,92,0.1,4.7,SW,100,< 8 km,Berawan
Kel.Amban,2025-08-22 04:00:00,24,90,0.1,3.1,SW,100,> 10 km,Berawan
Kel.Amban,2025-08-22 05:00:00,24,90,0.1,3.1,SW,100,> 10 km,Berawan
Kel.Amban,2025-08-22 06:00:00,24,91,0.1,3.1,SW,100,> 10 km,Berawan
Kel.Amban,2025-08-22 07:00:00,25,90,0.1,2.9,N,100,> 10 km,Berawan
Kel.Amban,2025-08-22 08:00:00,26,86,0.1,2.9,N,100,> 10 km,Berawan
Kel.Amban,2025-08-22 09:00:00,26,88,0.1,2.9,N,100,> 10 km,Berawan
Kel.Amban,2025-08-22 10:00:00,27,84,0.1,3.6,N,100,> 10 km,Berawan
Kel.Amban,2025-08-22 11:00:00,28,76,0.1,6.3,NW,100,< 9 km,Berawan
Kel.Amban,2025-08-22 12:00:00,28,76,0.2,6.3,NW,100,< 9 km,Hujan Ringan
Kel.Amban,2025-08-22 13:00:00,28,76,0.1,9.8,N,99,> 10 km,Berawan
Kel.Amban,2025-08-22 14:00:00,28,76,0.2,9.9,NW,98,< 8 km,Hujan Ringan
Kel.Amban,2025-08-22 15:00:00,27,77,0.4,9.9,NW,100,< 8 km,Hujan Ringan
Kel.Amban,2025-08-22 16:00:00,27,82,0.4,15.6,W,100,< 9 km,Berawan
Kel.Amban,2025-08-22 17:00:00,26,86,0.4,15.6,W,100,< 9 km,Berawan
Kel.Amban,2025-08-22 18:00:00,26,87,0.1,15.6,W,99,< 9 km,Berawan
Kel.Amban,2025-08-22 19:00:00,26,88,0.1,13.5,W,99,< 8 km,Berawan
Kel.Amban,2025-08-22 20:00:00,25,89,0.1,13.5,W,100,< 8 km,Berawan
Kel.Amban,2025-08-22 21:00:00,25,89,0.1,13.5,W,100,< 8 km,Berawan
Kel.Amban,2025-08-22 22:00:00,25,90,0.1,7.0,W,99,< 9 km,Berawan
Kel.Amban,2025-08-22 23:00:00,25,91,0.1,7.0,W,100,< 9 km,Berawan
Kel.Amban,2025-08-23 00:00:00,24,92,0.3,7.5,NW,100,< 9 km,Berawan
Kel.Amban,2025-08-23 01:00:00,24,92,0.3,7.6,W,99,< 8 km,Berawan
Kel.Amban,2025-08-23 02:00:00,24,91,0.3,7.6,W,100,< 8 km,Berawan
Kel.Amban,2025-08-23 03:00:00,24,92,0.2,7.6,W,99,< 8 km,Hujan Ringan
Kel.Amban,2025-08-23 04:00:00,24,91,0.2,1.9,NE,100,< 8 km,Hujan Ringan
Kel.Amban,2025-08-23 05:00:00,24,89,0.2,1.9,NE,100,< 8 km,Berawan
Kel.Amban,2025-08-23 06:00:00,24,91,1.0,1.9,NE,100,< 8 km,Hujan Ringan
Kel.Amban,2025-08-23 07:00:00,25,90,1.0,5.9,NW,100,< 8 km,Hujan Ringan
Kel.Amban,2025-08-23 08:00:00,25,88,1.0,5.9,NW,100,< 8 km,Hujan Ringan
Kel.Amban,2025-08-23 09:00:00,26,87,0.1,5.9,NW,99,< 8 km,Hujan Ringan
Kel.Amban,2025-08-23 10:00:00,27,82,0.1,10.0,N,100,< 9 km,Hujan Ringan
Kel.Amban,2025-08-23 11:00:00,26,90,1.3,5.2,N,100,< 6 km,Hujan Ringan
Kel.Amban,2025-08-23 12:00:00,26,89,0.8,5.2,N,100,< 6 km,Cerah Berawan
Kel.Amban,2025-08-23 13:00:00,26,90,0.8,7.3,NW,100,< 6 km,Hujan Ringan
Kel.Amban,2025-08-23 14:00:00,26,89,0.8,7.3,NW,100,< 6 km,Hujan Ringan
Kel.Amban,2025-08-23 15:00:00,26,89,1.3,7.3,NW,100,< 6 km,Hujan Ringan
Kel.Amban,2025-08-23 16:00:00,25,90,1.3,3.9,NW,100,< 6 km,Hujan Ringan
Kel.Amban,2025-08-23 17:00:00,25,92,1.3,3.9,NW,100,< 6 km,Hujan Ringan
Kel.Amban,2025-08-23 18:00:00,25,92,0.5,3.9,NW,100,< 6 km,Berawan
Kel.Amban,2025-08-23 19:00:00,25,91,0.5,2.8,N,100,< 7 km,Berawan
Kel.Amban,2025-08-23 20:00:00,25,90,0.5,2.8,N,100,< 7 km,Berawan
Kel.Amban,2025-08-23 21:00:00,25,90,0.0,2.8,N,100,< 7 km,Berawan
Kel.Amban,2025-08-23 22:00:00,25,91,0.0,3.5,SW,98,< 6 km,Berawan
Kel.Amban,2025-08-23 23:00:00,24,92,0.0,3.5,SW,100,< 6 km,Berawan
Kel.Amban,2025-08-24 00:00:00,24,92,0.0,3.5,SW,100,< 6 km,Berawan
Kel.Amban,2025-08-24 01:00:00,26,89,0.1,12.7,E,100,< 7 km,Berawan
Kel.Amban,2025-08-24 02:00:00,24,91,0.0,6.3,S,100,< 7 km,Berawan
Kel.Amban,2025-08-24 03:00:00,24,93,0.2,6.3,S,100,< 7 km,Berawan
Kel.Amban,2025-08-24 04:00:00,24,92,1.3,11.3,SE,100,< 7 km,Hujan Ringan
Kel.Amban,2025-08-24 05:00:00,25,88,0.2,10.6,SE,100,< 7 km,Berawan
Kel.Amban,2025-08-24 06:00:00,26,89,1.3,10.6,SE,100,< 7 km,Hujan Ringan
Kel.Amban,2025-08-24 07:00:00,25,90,0.3,12.7,E,100,< 7 km,Berawan
Kel.Amban,2025-08-24 08:00:00,26,88,1.3,8.7,NE,100,< 6 km,Hujan Ringan
Kel.Amban,2025-08-24 09:00:00,26,89,1.2,12.7,E,100,< 7 km,Hujan Ringan
Kel.Amban,2025-08-24 10:00:00,26,88,1.2,19.0,SE,100,< 6 km,Hujan Ringan
Kel.Amban,2025-08-24 11:00:00,27,83,0.8,10.7,E,45,< 6 km,Cerah
Kel.Amban,2025-08-24 12:00:00,26,86,0.0,19.0,SE,62,< 6 km,Hujan Ringan
Kel.Amban,2025-08-24 13:00:00,27,80,0.0,10.5,E,72,< 6 km,Cerah Berawan
Kel.Amban,2025-08-24 14:00:00,27,79,1.3,7.0,NE,83,< 7 km,Hujan Ringan
Kel.Amban,2025-08-24 15:00:00,27,80,0.0,10.5,E,55,< 6 km,Cerah
Kel.Amban,2025-08-24 16:00:00,27,82,0.0,8.1,SE,63,< 7 km,Cerah Berawan
Kel.Amban,2025-08-24 17:00:00,26,86,0.4,9.4,SE,68,< 8 km,Cerah Berawan
Kel.Amban,2025-08-24 18:00:00,26,84,0.0,8.1,SE,96,< 7 km,Berawan
Kel.Amban,2025-08-24 19:00:00,26,86,0.0,13.1,E,94,< 8 km,Hujan Ringan
Kel.Amban,2025-08-24 20:00:00,26,85,0.0,13.1,E,78,< 8 km,Cerah Berawan
Kel.Amban,2025-08-24 21:00:00,26,85,0.0,13.1,E,89,< 8 km,Cerah Berawan
Kel.Amban,2025-08-24 22:00:00,26,85,0.0,15.2,SE,66,< 8 km,Cerah Berawan
Kel.Amban,2025-08-24 23:00:00,26,84,0.0,15.2,SE,32,< 8 km,Cerah
Kel.Amban,2025-08-25 00:00:00,26,85,1.4,15.2,SE,69,< 8 km,Hujan Ringan
Kel.Amban,2025-08-25 01:00:00,25,89,1.4,16.5,E,96,< 9 km,Hujan Ringan
Kel.Amban,2025-08-25 02:00:00,24,92,1.4,16.5,E,99,< 9 km,Hujan Ringan
Kel.Amban,2025-08-25 03:00:00,25,89,0.9,16.5,E,77,< 9 km,Cerah Berawan
Kel.Amban,2025-08-25 04:00:00,25,90,0.9,17.3,SE,79,< 8 km,Cerah Berawan
Kel.Amban,2025-08-25 05:00:00,25,89,0.9,17.3,SE,59,< 8 km,Cerah
Kel.Amban,2025-08-25 06:00:00,26,88,0.1,17.3,SE,55,< 8 km,Cerah
Kel.Amban,2025-08-25 07:00:00,27,85,0.1,17.2,E,35,< 9 km,Cerah
Kel.Amban,2025-08-25 08:00:00,27,83,0.1,17.2,E,49,< 9 km,Cerah
Kel.Amban,2025-08-25 09:00:00,26,84,0.0,4.8,SW,100,> 10 km,Berawan
Kel.Amban,2025-08-25 10:00:00,28,79,2.0,19.6,SE,44,< 8 km,Hujan Ringan
Kel.Amban,2025-08-25 11:00:00,28,76,0.2,9.4,N,69,< 9 km,Hujan Ringan
Kel.Amban,2025-08-25 12:00:00,28,77,0.0,7.6,SE,98,> 10 km,Hujan Ringan
Kel.Amban,2025-08-25 13:00:00,28,78,2.0,13.6,SE,23,< 8 km,Hujan Ringan
Kel.Amban,2025-08-25 14:00:00,28,78,0.3,14.2,NW,80,< 8 km,Cerah Berawan
Kel.Amban,2025-08-25 15:00:00,28,78,0.3,9.1,SE,79,> 10 km,Cerah Berawan
Kel.Amban,2025-08-25 16:00:00,27,82,2.0,7.7,SW,56,< 9 km,Hujan Ringan
Kel.Amban,2025-08-25 17:00:00,26,86,0.5,12.4,W,94,< 9 km,Berawan
Kel.Amban,2025-08-25 18:00:00,26,89,0.0,8.4,W,92,> 10 km,Berawan
Kel.Amban,2025-08-25 19:00:00,25,89,0.3,8.9,W,29,< 9 km,Cerah
Kel.Amban,2025-08-25 20:00:00,25,90,0.0,3.7,NW,74,< 9 km,Cerah Berawan
Kel.Amban,2025-08-25 21:00:00,25,92,0.0,8.7,W,73,> 10 km,Cerah Berawan
Kel.Amban,2025-08-25 22:00:00,25,90,0.1,6.6,W,57,< 9 km,Cerah
Kel.Amban,2025-08-25 23:00:00,24,93,0.0,10.0,SW,100,< 10 km,Berawan
Kel.Amban,2025-08-26 00:00:00,24,92,0.0,8.8,SW,90,> 10 km,Berawan
Kel.Amban,2025-08-26 01:00:00,24,92,0.0,9.7,W,100,< 9 km,Berawan
Kel.Amban,2025-08-26 02:00:00,24,92,0.0,9.7,W,99,< 9 km,Berawan
Kel.Amban,2025-08-26 03:00:00,24,92,0.0,8.2,SW,89,> 10 km,Cerah Berawan
Kel.Amban,2025-08-26 04:00:00,24,91,0.0,4.4,S,100,> 10 km,Berawan
Kel.Amban,2025-08-26 05:00:00,24,90,0.0,4.4,S,100,> 10 km,Berawan
Kel.Amban,2025-08-26 06:00:00,24,91,0.0,7.5,W,96,< 8 km,Berawan
Kel.Amban,2025-08-26 07:00:00,26,89,0.0,5.4,E,100,> 10 km,Berawan
Kel.Amban,2025-08-26 08:00:00,27,83,0.0,5.4,E,100,> 10 km,Berawan
Kel.Amban,2025-08-26 09:00:00,28,79,0.0,5.4,E,100,> 10 km,Berawan
Kel.Amban,2025-08-26 10:00:00,28,76,0.0,7.6,E,100,> 10 km,Berawan
Kel.Amban,2025-08-26 11:00:00,28,76,0.0,7.6,E,95,> 10 km,Berawan
Kel.Amban,2025-08-26 12:00:00,28,78,1.3,11.5,E,100,< 6 km,Hujan Ringan
Kel.Amban,2025-08-26 13:00:00,29,75,0.2,12.3,N,68,> 10 km,Cerah Berawan
Kel.Amban,2025-08-26 14:00:00,28,76,0.2,12.3,N,91,> 10 km,Berawan
Kel.Amban,2025-08-26 15:00:00,27,83,1.3,7.1,N,98,< 6 km,Hujan Ringan
Kel.Amban,2025-08-26 16:00:00,26,85,0.8,6.6,NW,100,< 10 km,Berawan
Kel.Amban,2025-08-26 17:00:00,26,88,0.8,6.6,NW,100,< 10 km,Berawan
Kel.Amban,2025-08-26 18:00:00,25,94,0.1,5.8,S,99,< 7 km,Berawan
Kel.Amban,2025-08-26 19:00:00,24,92,1.5,10.6,NW,99,< 10 km,Hujan Ringan
Kel.Amban,2025-08-26 20:00:00,24,91,1.5,10.6,NW,95,< 10 km,Hujan Ringan
Kel.Amban,2025-08-26 21:00:00,25,91,0.0,10.9,SE,94,< 6 km,Berawan
Kel.Amban,2025-08-26 22:00:00,25,90,0.0,7.2,SE,97,< 7 km,Berawan
Kel.Amban,2025-08-26 23:00:00,25,90,0.0,7.2,SE,96,< 7 km,Berawan
Kel.Amban,2025-08-27 00:00:00,25,89,0.1,7.2,SE,99,< 7 km,Berawan
Kel.Amban,2025-08-27 01:00:00,25,90,0.1,6.7,E,100,< 7 km,Berawan
Kel.Amban,2025-08-27 02:00:00,25,90,0.1,4.1,SE,100,< 7 km,Berawan
Kel.Amban,2025-08-27 03:00:00,25,89,0.0,4.1,SE,100,< 7 km,Berawan
Kel.Amban,2025-08-27 04:00:00,26,86,1.3,13.1,E,100,< 7 km,Hujan Ringan
Kel.Amban,2025-08-27 05:00:00,25,88,0.0,4.1,E,100,< 6 km,Berawan
Kel.Amban,2025-08-27 06:00:00,25,89,0.2,4.1,E,100,< 6 km,Berawan
Kel.Amban,2025-08-27 07:00:00,26,87,0.1,15.7,E,100,< 7 km,Berawan
Kel.Amban,2025-08-27 08:00:00,27,86,0.2,3.1,NW,100,< 6 km,Berawan
Kel.Amban,2025-08-27 09:00:00,27,84,0.2,3.1,NW,100,< 6 km,Berawan
Kel.Amban,2025-08-27 10:00:00,28,80,0.1,16.8,E,100,< 6 km,Hujan Ringan
Kel.Amban,2025-08-27 11:00:00,27,81,0.2,10.1,N,97,< 6 km,Berawan
Kel.Amban,2025-08-27 12:00:00,28,79,1.3,10.1,N,84,< 6 km,Hujan Ringan
Kel.Amban,2025-08-27 13:00:00,28,78,2.1,12.5,NW,100,< 7 km,Hujan Ringan
Kel.Amban,2025-08-27 14:00:00,26,90,2.1,12.5,NW,100,< 7 km,Hujan Ringan
Kel.Amban,2025-08-27 15:00:00,25,91,0.7,12.5,NW,100,< 7 km,Hujan Ringan
Kel.Amban,2025-08-27 16:00:00,25,92,0.7,8.0,W,100,< 9 km,Berawan
Kel.Amban,2025-08-27 17:00:00,25,92,0.7,8.0,W,100,< 9 km,Cerah Berawan
Kel.Amban,2025-08-27 18:00:00,25,94,0.2,8.0,W,100,< 9 km,Berawan
Kel.Amban,2025-08-27 19:00:00,25,93,0.2,9.9,W,100,< 8 km,Berawan
Kel.Amban,2025-08-27 20:00:00,25,93,0.2,9.9,W,100,< 8 km,Hujan Ringan
Kel.Amban,2025-08-27 21:00:00,24,94,0.5,9.9,W,100,< 8 km,Berawan
Kel.Amban,2025-08-27 22:00:00,24,94,0.5,7.0,SW,100,< 8 km,Berawan
Kel.Amban,2025-08-27 23:00:00,24,94,0.5,7.0,SW,99,< 8 km,Hujan Ringan
Kel.Amban,2025-08-28 00:00:00,24,94,0.0,7.0,SW,99,< 8 km,Hujan Ringan
Kel.Amban,2025-08-28 01:00:00,25,92,0.0,11.6,SE,100,< 8 km,Hujan Ringan
Kel.Amban,2025-08-28 02:00:00,25,91,0.0,11.6,SE,100,< 8 km,Berawan
Kel.Amban,2025-08-28 03:00:00,25,90,0.0,11.6,SE,100,< 8 km,Berawan
Kel.Amban,2025-08-28 04:00:00,25,90,0.0,3.9,S,100,< 8 km,Berawan
Kel.Amban,2025-08-28 05:00:00,24,92,0.0,3.9,S,100,< 8 km,Berawan
Kel.Amban,2025-08-28 06:00:00,25,93,0.0,3.9,S,100,< 8 km,Berawan
Kel.Amban,2025-08-28 07:00:00,26,92,0.0,7.4,SE,99,< 8 km,Berawan
